:: action->, username->, password->
:: action->Register, username->ccc, password->test
:: action->, username->, password->
:: action->Register, username->cccxxx, password->test
:: action->Register, username->cccxxx, password->test
:: action->Register, username->cccxxxsss, password->test
:: action->Register, username->cccxxxssswwww, password->test
:: action->Register, username->cccxxxssswwww, password->test
:: action->Register, username->cccxxxssswwww, password->test
:: action->, username->, password->
:: action->Register, username->cccxxxssswwww, password->test
:: action->Register, username->cccxxxssswwww, password->test
:: action->Register, username->aassd, password->test
:: action->, username->, password->
:: action->Register, username->aassd, password->test
:: action->Register, username->aassd, password->test
:: action->Register, username->aassd, password->test
:: action->Register, username->aassd, password->test
:: action->Register, username->aassd, password->test
:: action->Register, username->aassd, password->test
:: action->Login, username->safs, password->sfasdf
:: action->Login, username->123, password->123
:: action->Register, username->111, password->test
:: action->Login, username->111, password->test
:: action->Login, username->111, password->test
:: action->Register, username->4321, password->test
:: action->, username->, password->
:: action->, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->, username->, password->
:: action->, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Upload, username->, password->
:: action->Register, username->4321, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Register, username->md5&sha1, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Login, username->md5&sha1, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Login, username->md5&sha1, password->d82aaf61908831c86c56c244601af10cab7d22e6
:: action->Login, username->md5&sha1, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Login, username->chendeqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Register, username->chendeqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Login, username->chendeqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Login, username->chendeqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Register, username->deqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
:: action->Register, username->deqing, password->916e6f1a76cd79a06ff84b3290c37dd5ee869bb3
